Phrasenum,Word,Minimal Pair,Carrier,Has Image,Needs New Image,Can't Image,Verified w/ Native?,IPA,Gloss,Gloss 2,Syllable,Segment,Type,Position,Position 2,Contrast (IPA),Contrast,Experiment,Frequency (ARALEX2.0),Frequency (ARALEX),New Carrier,Context Phrase,Source,Notes
103,سُعال,سُؤال,قال سُعال واحد و خمسين مرة,X,,,X,sʊʕæːl,heavy coughing,,CVCVːC,ʕ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « سُعال » واحد و خَمسين مَرة,,Zainab,
104,تَوَجّه,تَوَجّع,قال تَوَجّه واحد و خمسين مرة,X,,,X,tawadʒːah,he headed toward,,CVCVCːVC,h,laryngeal,Final,VC,ʕ - h,laryngeal-pharyngeal,Pilot (157),,,يقول « تَوَجّه » واحد و خَمسين مَرة,,Zainab,
105,تَوَجّع,تَوَجّه,قال تَوَجّع واحد و خمسين مرة,X,,,X,tawadʒːaʕ,he was in pain,,CVCVCːVC,ʕ,pharyngeal,Final,VC,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « تَوَجّع » واحد و خَمسين مَرة,,Zainab,
106,مُهَرِّج,مُعَرِّج,قال مُهَرِّج واحد و خمسين مرة,X,,,X,mʊharːɪdʒ,clownish,,CVCVCːVC,h,laryngeal,Medial,VCV,ʕ - h,laryngeal-pharyngeal,Pilot (157),,,يقول « مُهَرِّج » واحد و خَمسين مَرة,,Zainab,
107,مُعَرِّج,مُهَرِّج,قال مُعَرِّج واحد و خمسين مرة,X,,,X,mʊʕarːɪdʒ,swerving,,CVCVCːVC,ʕ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « مُعَرِّج » واحد و خَمسين مَرة,,Zainab,
108,سَهَّرَ,سَعَّر,قال سَهَّرَ واحد و خمسين مرة,X,X,,X,sahːar,he made someone stay late,,CVCːVC,h,laryngeal,Medial,VCV,ʕ - h,laryngeal-pharyngeal,pharylary1 (162),,,يقول « سَهَر » واحد و خَمسين مَرة,,Zainab,Was missing vowels in Pilot (157); updated to include vowels after
109,سَعَّرَ,سَهَّر,قال سَعَّرَ واحد و خمسين مرة,,,X,X,saʕːar,he priced [something],,CVCːVC,ʕ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,pharylary1 (162),,,يقول « سَعَر » واحد و خَمسين مَرة,,Zainab,Was missing vowels in Pilot (157); updated to include vowels after
110,هَبَد,عَبَد,قال هَبَد واحد و خمسين مرة,,,X,X,habad,he flung down or forcefully threw,,CVCVC,h,laryngeal,Initial,CV,ʕ - h,laryngeal-pharyngeal,Pilot (157),,,يقول « هَبَد » واحد و خَمسين مَرة,,Zainab,
111,عَبَد,هَبَد,قال عَبَد واحد و خمسين مرة,X,,,X,ʕabad,he worshipped,,CVCVC,ʕ,pharyngeal,Initial,CV,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « عَبَد » واحد و خَمسين مَرة,,Zainab,
112,هَديل,عَديل,قال هَديل واحد و خمسين مرة,,,,X,hadiːl,cooing of doves,common female name,CVCVːC,h,laryngeal,Initial,CV,ʕ - h,laryngeal-pharyngeal,Pilot (157),,,يقول « هَديل » واحد و خَمسين مَرة,,Zainab,
113,عَديل,هَديل,قال عَديل واحد و خمسين مرة,,,,X,ʕadiːl,in-law,,CVCVːC,ʕ,pharyngeal,Initial,CV,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « عَديل » واحد و خَمسين مَرة,,Zainab,
114,هُموم,عُموم,قال هُموم واحد و خمسين مرة,X,,,X,hʊmuːm,worries,,CVCVːC,h,laryngeal,Initial,CV,ʕ - h,laryngeal-pharyngeal,Pilot (157),,,يقول « هُموم » واحد و خَمسين مَرة,,Zainab,
115,عُموم,هُموم,قال عُموم واحد و خمسين مرة,X,,,X,ʕʊmuːm,"general, public, common",,CVCVːC,ʕ,pharyngeal,Initial,CV,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « عُموم » واحد و خَمسين مَرة,,Zainab,
116,وَلَه,وَلَع,قال وَلَه واحد و خمسين مرة,X,,,X,walah,sadness,,CVCVC,h,laryngeal,Final,VC,ʕ - h,laryngeal-pharyngeal,Pilot (157),,,يقول « وَلَه » واحد و خَمسين مَرة,,Zainab,
117,وَلَع,وَلَه,قال وَلَع واحد و خمسين مرة,X,,,X,walaʕ,infatuation,,CVCVC,ʕ,pharyngeal,Final,VC,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « وَلَع » واحد و خَمسين مَرة,,Zainab,
118,هَبّة,حَبّة,قال هَبّة واحد و خمسين مرة,X,,,X,habːa,uprising,,CVCːV,h,laryngeal,Initial,CV,h - ħ,laryngeal-pharyngeal,Pilot (157),,,يقول « هَبّة » واحد و خَمسين مَرة,,Zainab,
119,حَبّة,هَبّة,قال حَبّة واحد و خمسين مرة,X,,,X,ħabːa,seed,,CVCːV,ħ,pharyngeal,Initial,CV,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « حَبّة » واحد و خَمسين مَرة,,Zainab,
120,إِبهار,إِبحار,قال إِبهار واحد و خمسين مرة,X,,,X,ʔɪbhɑːr,dazzlement,,CVCCVːC,h,laryngeal,Medial,VCV,h - ħ,laryngeal-pharyngeal,Pilot (157),,,يقول « إِبْهار » واحد و خَمسين مَرة,,Zainab,
121,إِبحار,إِبهار,قال إِبحار واحد و خمسين مرة,X,,,X,ʔɪbħɑːr,sailing,navigation,CVCCVːC,ħ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « إِبْحار » واحد و خَمسين مَرة,,Zainab,
122,يُهبِط,يُحبِط,قال يُهبِط واحد و خمسين مرة,,X,,X,jʊhbɪtˤ,he brought down,to land a plane,CVCCVC,h,laryngeal,Medial,VCV,h - ħ,laryngeal-pharyngeal,Pilot (157),,,يقول « يُهبِط » واحد و خَمسين مَرة,,Zainab,
123,يُحبِط,يُهبِط,قال يُحبِط واحد و خمسين مرة,X,,,X,jʊħbɪtˤ,to defeat,to thwart,CVCCVC,ħ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « يُحبِط » واحد و خَمسين مَرة,,Zainab,
124,رَفَه,رَفَح,قال رَفَه واحد و خمسين مرة,X,,,X,rafah,luxury,to entertain,CVCVC,h,laryngeal,Final,VC,h - ħ,laryngeal-pharyngeal,Pilot (157),,,يقول « رَفَه » واحد و خَمسين مَرة,,Zainab,
125,رَفَح,رَفَه,قال رَفَح واحد و خمسين مرة,,X,,X,rafaħ,Rafah (city in Egypt),,CVCVC,ħ,pharyngeal,Final,VC,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « رَفَح » واحد و خَمسين مَرة,,Zainab,
126,دَرب,ضرب,قال دَرب واحد و خمسين مرة,X,,,X,daɾb,path,,CVCC,d,plain,Initial,CV,d - dˤ,plain-pharyngealized,Pilot (157),,,يقول « دَرب » واحد و خَمسين مَرة,,Personal Knowledge,/r/
127,ضَرب,درب,قال ضَرب واحد و خمسين مرة,X,,,X,dˤaɾb,hitting,,CVCC,dˤ,pharyngealized,Initial,CV,redundant,plain-pharyngealized,Pilot (157),,,يقول « ضَرب » واحد و خَمسين مَرة,,Personal Knowledge,/r/
128,تيار,طيار,قال تيار واحد و خمسين مرة,X,,,X,tajaːr,current (of river),,CVCːVC,t,plain,Initial,CV,t - tˤ,plain-pharyngealized,Pilot (157),,,يقول « تيار » واحد و خَمسين مَرة,,Khattab et al. 2006,/r/
129,طيار,تيار,قال طيار واحد و خمسين مرة,,,,X,tˤajaːr,pilot,,CVCːVC,tˤ,pharyngealized,Initial,CV,redundant,plain-pharyngealized,Pilot (157),,,يقول « طيار » واحد و خَمسين مَرة,,Khattab et al. 2006,/r/
130,تَمر,طمر,قال تَمر واحد و خمسين مرة,X,,,X,tamr,date (fruit),,CVCC,t,plain,Initial,CV,t - tˤ,plain-pharyngealized,Pilot (157),,,يقول « تَمر » واحد و خَمسين مَرة,,Khattab et al. 2006,/r/
131,طَمر,تمر,قال طَمر واحد و خمسين مرة,X,,,X,tˤamr,bury,,CVCC,tˤ,pharyngealized,Initial,CV,redundant,plain-pharyngealized,Pilot (157),,,يقول « طَمر » واحد و خَمسين مَرة,,Khattab et al. 2006,/r/
132,ضارّ,دار,قال ضارّ واحد و خمسين مرة,X,,,X,dˤɑːr,harmful,,CVːC,dˤ,pharyngealized,Initial,CV,d - dˤ,plain-pharyngealized,Pilot (157),,,يقول « ضارّ » واحد و خَمسين مَرة,,Tubuly: Routledge Handbook of Arabic Second Language Acquisition,/r/
133,دار,ضارّ,قال دار واحد و خمسين مرة,X,,,X,dɑːr,"house, world",,CVːC,d,plain,Initial,CV,redundant,plain-pharyngealized,Pilot (157),,,يقول « دار » واحد و خَمسين مَرة,,Tubuly: Routledge Handbook of Arabic Second Language Acquisition,/r/
134,سار,صار,قال سار واحد و خمسين مرة,X,,,X,sɑːr,he walked,,CVːC,s,plain,Initial,CV,s - sˤ,plain-pharyngealized,Pilot (157),,,يقول « سار » واحد و خَمسين مَرة,,Tubuly: Routledge Handbook of Arabic Second Language Acquisition,/r/
135,صار,سار,قال صار واحد و خمسين مرة,X,,,X,sˤɑːr,he became,,CVːC,sˤ,pharyngealized,Initial,CV,redundant,plain-pharyngealized,Pilot (157),,,يقول « صار » واحد و خَمسين مَرة,,Tubuly: Routledge Handbook of Arabic Second Language Acquisition,/r/
136,أسَد,X,قال أَسَد واحد و خمسين مرة,X,,,X,ʔasad,lion,,CVCVC,s,,Medial,VCV,,cluster,Pilot (157),,,يقول « أَسَد » واحد و خَمسين مَرة,,Zainab,
137,قَصّد,X,قال قَصَّدَ واحد و خمسين مرة,,,,X,qasˤːad,to intend,,CVCːVC,sˤ,,Medial,VCV,,cluster,Pilot (157),,,يقول « قَصَّدَ » واحد و خَمسين مَرة,,Zainab,
138,أَسعَد,X,قال أَسعَد واحد و خمسين مرة,,,,X,ʔasʕad,to make happy,,CVCCVC,sʕ,,Medial,VCV,,cluster,Pilot (157),,,يقول « أَسْعَد » واحد و خَمسين مَرة,,Zainab,
139,أتحَف,X,قال أَتحَف واحد و خمسين مرة,,,,X,ʔatħaf,"to make priceless, valued",,CVCCVC,tħ,,Medial,VCV,,cluster,Pilot (157),,,يقول « أَتْحَف » واحد و خَمسين مَرة,,Zainab,
140,أرعَم,X,قال أَرعَم واحد و خمسين مرة,,,,X,ʔarʕam,,,CVCCVC,rʕ,,Medial,VCV,,cluster,Pilot (157),,,يقول « أَرْعَم » واحد و خَمسين مَرة,,Zainab,
141,أدحَر,X,قال أَدحَر واحد و خمسين مرة,,,,X,ʔadħaɾ,strongly defeat,,CVCCVC,dħ,,Medial,VCV,,cluster,Pilot (157),,,يقول « أَدْحَر » واحد و خَمسين مَرة,,Zainab,
142,حِلم,عِلم,قال حِلم واحد و خمسين مرة,,,,X,ħɪlm,"calm, composure",,CVCC,ħ,pharyngeal,Initial,CV,,pharyngeal-pharyngeal,Pilot (157),,,يقول « حِلْم » واحد و خَمسين مَرة,,Wiktionary,
143,عِلم,حِلم,قال عِلم واحد و خمسين مرة,,,,X,ʕɪlm,science,,CVCC,ʕ,pharyngeal,Initial,CV,,pharyngeal-pharyngeal,Pilot (157),,,يقول « عِلْم » واحد و خَمسين مَرة,,Wiktionary,
144,وَصَلَ,حَصَلَ,قال وَصَلَ واحد و خمسين مرة,,,,X,wasˤala,"link, join, attach, arrive",,CVCVCV,w,sonorant,Initial,CV,w - ħ,sonorant-pharyngeal,Pilot (157),,,يقول « وَصَلَ » واحد و خَمسين مَرة,,Wiktionary,
145,حَصَلَ,وَصَلَ,قال حَصَلَ واحد و خمسين مرة,,,,X,ħasˤala,obtain,,CVCVCV,ħ,pharyngeal,Initial,CV,redundant,sonorant-pharyngeal,Pilot (157),,,يقول « حَصَلَ » واحد و خَمسين مَرة,,Wiktionary,
146,دَعَرَ,دَوَّرَ,قال دَعَرَ واحد و خمسين مرة,,,,X,daʕaɾa,"become immoral, licentious",,CVCVCV,ʕ,pharyngeal,Medial,VCV,w - ʕ,sonorant-pharyngeal,Pilot (157),,,يقول « دَعَرَ » واحد و خَمسين مَرة,,Wiktionary,/r/
147,دَوَّرَ,دَعَرَ,قال دَوَّرَ واحد و خمسين مرة,,,,X,dawːaɾa,to make round,to search,CVCːVCV,w,sonorant,Medial,VCV,redundant,sonorant-pharyngeal,Pilot (157),,,يقول « دَوَّرَ » واحد و خَمسين مَرة,,Wiktionary,/r/
148,نَوَّرَ,نَحَرَ,قال نَوَّرَ واحد و خمسين مرة,,,,X,nawːaɾa,illuminate,,CVCːVCV,w,sonorant,Medial,VCV,w - ħ,sonorant-pharyngeal,Pilot (157),,,يقول « نَوَّرَ » واحد و خَمسين مَرة,,Wiktionary,/r/
149,نَحَرَ,نَوَّرَ,قال نَحَرَ واحد و خمسين مرة,,,,X,naħaɾa,slaughter,slit throat,CVCVCV,ħ,pharyngeal,Medial,VCV,redundant,sonorant-pharyngeal,Pilot (157),,,يقول « نَحَرَ » واحد و خَمسين مَرة,,Wiktionary,/r/
150,هَجَّرَ,أَجَّرَ,قال هَجَّرَ واحد و خمسين مرة,,,,X,had͡ʒːaɾa,displace,,CVCːVCV,h,laryngeal,Initial,CV,ʔ - h,laryngeal-laryngeal,Pilot (157),,,يقول « هَجَّرَ » واحد و خَمسين مَرة,,Wiktionary,/r/
151,أَجَّرَ,هَجَّرَ,قال أَجَّرَ واحد و خمسين مرة,,,,X,ʔad͡ʒːaɾa,"rent, lease",,CVCːVCV,ʔ,laryngeal,Initial,CV,redundant,laryngeal-laryngeal,Pilot (157),,,يقول « أَجَّرَ » واحد و خَمسين مَرة,,Wiktionary,/r/
152,أكتُب,يَكتُب,قال أَكتُب واحد و خمسين مرة,,,X,X,ʔaktub,write,,CVCVC,ʔ,laryngeal,Initial,CV,j - ʔ,sonorant-laryngeal,Pilot (157),,,يقول « أَكتُبُ » واحد و خَمسين مَرة,,Wiktionary,
153,يَكتُب,أكتُب,قال يَكتُب واحد و خمسين مرة,,,X,X,jaktub,write,,CVCVC,j,sonorant,Initial,CV,redundant,sonorant-laryngeal,Pilot (157),,,يقول « يَكتُبُ » واحد و خَمسين مَرة,,Wiktionary,
154,أدرُس,يَدرُس,قال أَدرُس واحد و خمسين مرة,,,X,X,ʔadrus,study,,CVCVC,ʔ,laryngeal,Initial,CV,j - ʔ,sonorant-laryngeal,Pilot (157),,,يقول « أَدرُسُ » واحد و خَمسين مَرة,,Wiktionary,/r/
155,يَدرُس,أدرُس,قال يَدرُس واحد و خمسين مرة,,,X,X,jadrus,study,,CVCVC,j,sonorant,Initial,CV,redundant,sonorant-laryngeal,Pilot (157),,,يقول « يَدرُسُ » واحد و خَمسين مَرة,,Wiktionary,/r/
156,هَدَّ,يَد,قال هَدّ واحد و خمسين مرة,,,,X,hadː,to break down,,CVCː,h,laryngeal,Initial,CV,j - h,sonorant-laryngeal,Pilot (157),,,يقول « هَدَّ » واحد و خَمسين مَرة,,Wiktionary,
157,يَد,هَدَّ,قال يَد واحد و خمسين مرة,,,,X,jad,hand,,CVC,j,sonorant,Initial,CV,redundant,sonorant-laryngeal,Pilot (157),,,يقول « يَد » واحد و خَمسين مَرة,,Wiktionary,
158,أتى,,قال أتى واحد و خمسين مرة,,,,X,ʔata,to come,,CVCV,t,,Medial,VCV,,cluster,pharylary1 (162),,,,,Ali,
159,أطئ,,قال أطئ واحد و خمسين مرة,,,,X,ʔatˤaʔ,to step on,,CVCV,tˤ,,Medial,VCV,,cluster,pharylary1 (162),,,,,Ali,
160,أدى,,قال أدى واحد و خمسين مرة,,,,X,ʔada,to perform,,CVCV,d,,Medial,VCV,,cluster,pharylary1 (162),,,,,Ali,
161,أضى,,قال أضى واحد و خمسين مرة,,,,X,ʔadˤa,to light,,CVCV,dˤ,,Medial,VCV,,cluster,pharylary1 (162),,,,,Ali,
162,أرى,,قال أرى واحد و خمسين مرة,,,,X,ʔara,to see,,CVCV,r,,Medial,VCV,,cluster,pharylary1 (162),,,,,Ali,
